name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
Fokker D.XIII,NA,NA,NA,1220.16248,1651.07488,NA,2.7432000000000003,7.62,NA,NA,273.5878,NA,425.04900000000004,NA,NA,NA,9.804400000000001,8001,NA,NA,21.460593,NA,NA,10.972800000000001,Netherlands,1924,53,Retired
Fokker D.XIV,NA,NA,NA,948.00728,1351.70416,NA,3.048,7.62,NA,NA,273.5878,NA,439.963,NA,NA,NA,7.112,NA,NA,NA,NA,NA,NA,10.668000000000001,Netherlands,1925,1,Abandoned
Fokker D.XVI,NA,NA,NA,988.83056,1401.59928,NA,2.4384,7.010400000000001,NA,NA,329.9147,NA,343.022,NA,NA,NA,NA,NA,NA,NA,18.487697,NA,NA,9.144,Netherlands,1929,22,Retired
Fokker D.XVII,NA,NA,NA,1070.023528,NA,NA,2.7432000000000003,7.010400000000001,1529.965816,NA,355.66414,NA,443.6915,NA,NA,NA,NA,8749.893600000001,NA,NA,NA,NA,NA,9.4488,Netherlands,1931,11,Abandoned
Fokker DC.I,NA,NA,NA,1401.59928,1827.97576,NA,3.3528000000000002,8.8392,NA,NA,244.61968,NA,335.565,NA,NA,NA,NA,8001,NA,NA,NA,NA,NA,11.5824,Netherlands,1923,10,Retired
Fokker E.I,NA,NA,NA,357.884088,NA,NA,2.7432000000000003,7.010400000000001,562.907672,NA,130.35654,NA,NA,NA,NA,1999.488,NA,2999.232,NA,NA,15.997896599999999,NA,NA,8.8392,German Empire,1915,54,Retired
Fokker E.II,NA,NA,NA,NA,NA,7.924799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,German Empire,1915,49,Retired
Fokker E.III,NA,NA,NA,NA,NA,7.924799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,German Empire,1915,249,Retired
Fokker G.I,NA,NA,NA,3324.82936,NA,NA,3.77952,10.668000000000001,4799.910544,4999.944616,474.7553,NA,618,NA,NA,NA,NA,9999.8784,NA,NA,38.30019078,NA,NA,17.157192000000002,Netherlands,1937,63,Retired
Fokker PW-5,NA,NA,NA,NA,NA,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands,1921,12,Retired
